DATE,TOTAL
1-10-2017,91992023
1-10-2018,21464672
1-10-2019,86200000
1-11-2016,14315412
1-11-2017,29977740
1-11-2018,193850000
1-11-2019,1760000000
1-12-2015,8000000
1-12-2016,900000000
1-12-2017,118695280
1-12-2018,933798332
1-13-2015,114021106
1-13-2016,85500000
1-13-2017,290000000
1-14-2015,963500000
1-14-2016,240000000
1-15-2015,72800000
1-15-2016,497350565
1-15-2019,474084062
1-16-2015,16372000
1-16-2018,157977304
1-16-2019,143514000
1-17-2017,140000000
1-17-2018,44300000
1-17-2019,360249853
1-18-2017,248000000
1-18-2018,910570376
1-18-2019,439563841
1-19-2016,55681130
1-19-2017,580217000
1-19-2018,237654941
1-2-2015,60745967
1-2-2018,333355700
1-2-2019,95000000
1-20-2015,325000000
1-20-2016,89223718
1-21-2015,37556621
1-21-2016,99000000
1-22-2015,22908256
1-22-2016,97109000
1-22-2019,12599999930
1-23-2015,172000000
1-23-2017,189263856
1-23-2018,150000000
1-23-2019,95000000
1-24-2017,66720000
1-24-2018,240000000
1-24-2019,72261464
1-25-2017,128757513
1-25-2018,92011033
1-25-2019,2458707154
1-26-2015,45044669
1-26-2017,75000000
1-26-2018,459230468
1-27-2015,256005000
1-27-2016,538000000
1-27-2017,2122841088
1-28-2015,382926946
1-28-2016,2469582995
1-28-2019,108209591
1-29-2015,139249010
1-29-2016,271813941
1-29-2018,95000000
1-29-2019,85676969
1-3-2017,45061664
1-3-2018,37503038
1-3-2019,128003638
1-30-2015,770000000
1-30-2017,150000000
1-30-2018,2300304490
1-30-2019,559622074
1-31-2017,1969320231
1-31-2018,6560000000
1-31-2019,14917738145
1-4-2016,855000000
1-4-2017,56656833
1-4-2018,44290359
1-4-2019,92670255
1-5-2015,17323648
1-5-2016,66593457
1-5-2017,23969228
1-5-2018,257631721
1-6-2015,43291564
1-6-2016,257131913
1-6-2017,403264139
1-7-2015,9651735
1-7-2016,846000000
1-7-2019,91477172
1-8-2015,2529500000
1-8-2016,7046395
1-8-2018,30000000
1-8-2019,9934688
1-9-2015,67704157
1-9-2017,475000000
1-9-2018,496000000
1-9-2019,27604800
10-1-2014,441000000
10-1-2015,372458000
10-1-2018,631757949
10-10-2014,33266360
10-10-2017,219757475
10-10-2018,967000000
10-11-2016,31070335
10-11-2017,20596056
10-11-2018,25500000000
10-12-2016,15000000
10-12-2017,95000000
10-12-2018,44000000
10-13-2015,305457460
10-13-2016,41651752
10-13-2017,157788560
10-14-2014,591919496
10-14-2015,43339049
10-14-2016,77662030
10-15-2014,59526260
10-15-2015,200000000
10-15-2018,249000000
10-16-2014,45000000
10-16-2015,9699200
10-16-2017,240195180
10-16-2018,329586627
10-17-2014,164878296
10-17-2016,743169377
10-17-2017,230000000
10-17-2018,697029788
10-18-2016,120063189
10-18-2017,332900000
10-18-2018,37400000000
10-19-2015,18000000
10-19-2016,101915091
10-19-2017,120078063
10-19-2018,62016768
10-2-2014,80280849
10-2-2015,203559738
10-2-2017,765000000
10-2-2018,59000000
10-20-2014,83373932
10-20-2015,45000000
10-20-2016,92800000
10-20-2017,93500000
10-21-2014,70177521
10-21-2015,784289883
10-21-2016,310000000
10-22-2014,612758634
10-22-2015,53151809
10-22-2018,9000000
10-23-2014,207291682
10-23-2017,7500000000
10-23-2018,500000000
10-24-2014,75000000
10-24-2016,196691034
10-24-2017,240000000
10-24-2018,1036726575
10-25-2016,45837517
10-25-2017,240000000
10-25-2018,131555000
10-26-2015,897530175
10-26-2016,74869295
10-26-2017,168766790
10-26-2018,240000000
10-27-2014,486506664
10-27-2015,32694267
10-27-2016,37713492
10-27-2017,1500000000
10-28-2014,391607952
10-28-2015,477696108
10-28-2016,499987656
10-29-2014,102888983
10-29-2015,94602271
10-29-2018,78000000
10-3-2014,960000000
10-3-2016,120000000
10-3-2017,249000000
10-3-2018,220154652
10-30-2014,793051336
10-30-2015,570746952
10-30-2017,198700000
10-30-2018,473000000
10-31-2014,411000000
10-31-2016,1773158264
10-31-2017,183474414
10-31-2018,960000000
10-4-2016,143931988
10-4-2017,2740747815
10-4-2018,249000000
10-5-2015,91735291
10-5-2016,214536353
10-5-2017,130469576
10-5-2018,390792959
10-6-2014,19502764
10-6-2015,10000000
10-6-2016,130500000
10-6-2017,584200000
10-7-2014,14737872
10-7-2015,10716709
10-7-2016,618343700
10-8-2014,7473573
10-8-2015,3500000
10-9-2014,80000000
10-9-2015,191530501
10-9-2018,7707370
11-1-2016,799588795
11-1-2017,8276161000
11-1-2018,48000000
11-10-2014,57609736
11-10-2015,968745411
11-10-2016,76056334
11-12-2014,24802594
11-12-2015,373312352
11-13-2014,4055350448
11-13-2015,67902033
11-13-2017,44305000
11-13-2018,324422299
11-14-2014,38013151
11-14-2016,125185446
11-14-2017,139818901
11-14-2018,22712874822
11-15-2016,48554905
11-15-2017,150000000
11-15-2018,348915105
11-16-2015,36727286
11-16-2016,71089272
11-16-2017,143481258
11-16-2018,424000000
11-17-2014,771957753
11-17-2015,49855124
11-17-2016,145000000
11-17-2017,44305474
11-18-2014,43670662
11-18-2015,357053176
11-18-2016,1204200000
11-19-2014,194775798
11-19-2015,80125573
11-19-2018,85457545
11-2-2015,24039067
